nom,id,status,yield_effectif,yield_source,price,tof,nb_secteurs,secteurs_somme,nb_geo,geo_somme,capitalisation,source,issues,yield_ts,yield_json
Transitions Europe,50,OK,7.6,json,202.0,98.5,7,100.0,7,100.0,1250.0M€,ancien_stock,,7.6,7.6
Urban Coeur de Commerce,51,OK,5.3,json,303.0,91.95,4,100.0,2,100.0,92.36M€,extracted_t1_2026,,5.3,5.3
NCap Continent,52,OK,7.1,json,210,100.0,4,100.0,3,100.0,71.5M€,extracted_t1_2026,,7.1,7.1
Wemo One,53,OK,15.27,json,210,100,5,100.0,4,100.0,121.9M€,extracted_t1_2026,,15.27,15.27
Iroko Atlas,54,OK,9.66,ts,200,99.93,5,100.0,6,100.1,120M€,extracted_t1_2026,,9.66,
Epsicap Nano,55,OK,6.08,json,257,97.9,6,100.0,4,100.0,202M€,extracted_t1_2026,,6.08,6.08
Alta Convictions,56,ATTENTION,6.57,json,308,96,1,100,7,100.0,121M€,extracted_t1_2026,SECTEURS_GENERIQUES_100pct,6.57,6.57
Cristal Rente,57,OK,5,json,255.68,98.99,4,100.0,5,100.0,682.95M€,extracted_t1_2026,,5,5
Rivoli Avenir Patrimoine,58,OK,3.46,json,228,86.03,5,100.1,10,100.1,2927M€,extracted_t1_2026,,3.46,3.46
Primovie,59,OK,4.04,json,164,94.7,4,100.0,8,100.1,4.2Md€,extracted_t1_2026,,4.04,4.04
Praemia Hôtels Europe,60,OK,3.9,json,204,97.7,4,100.0,8,100.0,252.5M€,extracted_t1_2026,,3.9,3.9
Pierval Santé,61,OK,4.39,json,204,94.59,3,100.0,2,100,3300M€,extracted_t1_2026,,4.39,4.39
Patrimmo Commerce,62,OK,3.38,json,160,91,3,100.0,7,100.0,613.7M€,extracted_t1_2026,,3.38,3.38
Aestiam Agora,63,OK,4.5,json,922,91.7,4,100.0,8,100.0,468M€,extracted_t1_2026,,4.5,4.5
