url_sitemap,url_finale,status,redirect_count,error,canonical,meta_robots,title,description,h1,html_size,is_noindex,is_soft404,is_redirect,is_error,canonical_differs
https://maximusscpi.com/simulateur-demembrement-scpi/,https://maximusscpi.com/simulateur-demembrement-scpi/,200,0,,https://maximusscpi.com/,index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1,MaximusSCPI — Investir en SCPI avec un Expert Certifié ORIAS,Comparez 63 SCPI en temps réel ✓ Rendements jusqu,,7490,false,false,false,false,true
https://maximusscpi.com/simulateur-enveloppes-scpi/,https://maximusscpi.com/simulateur-enveloppes-scpi/,200,0,,https://maximusscpi.com/,index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1,MaximusSCPI — Investir en SCPI avec un Expert Certifié ORIAS,Comparez 63 SCPI en temps réel ✓ Rendements jusqu,,7490,false,false,false,false,true
https://maximusscpi.com/simulateur-tresorerie-is/,https://maximusscpi.com/simulateur-tresorerie-is/,200,0,,https://maximusscpi.com/,index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1,MaximusSCPI — Investir en SCPI avec un Expert Certifié ORIAS,Comparez 63 SCPI en temps réel ✓ Rendements jusqu,,7490,false,false,false,false,true
https://maximusscpi.com/simulateur-impact-fiscal-scpi/,https://maximusscpi.com/simulateur-impact-fiscal-scpi/,200,0,,https://maximusscpi.com/,index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1,MaximusSCPI — Investir en SCPI avec un Expert Certifié ORIAS,Comparez 63 SCPI en temps réel ✓ Rendements jusqu,,7490,false,false,false,false,true
https://maximusscpi.com/simulateur-profil-investisseur/,https://maximusscpi.com/simulateur-profil-investisseur/,200,0,,https://maximusscpi.com/,index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1,MaximusSCPI — Investir en SCPI avec un Expert Certifié ORIAS,Comparez 63 SCPI en temps réel ✓ Rendements jusqu,,7490,false,false,false,false,true
https://maximusscpi.com/comparateur-demembrement-scpi/,https://maximusscpi.com/comparateur-demembrement-scpi/,200,0,,https://maximusscpi.com/,index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1,MaximusSCPI — Investir en SCPI avec un Expert Certifié ORIAS,Comparez 63 SCPI en temps réel ✓ Rendements jusqu,,7490,false,false,false,false,true
https://maximusscpi.com/scpi-bureaux/,https://maximusscpi.com/scpi-bureaux/,-1,10,,,,,,,0,false,false,false,false,false
https://maximusscpi.com/scpi-commerces/,https://maximusscpi.com/scpi-commerces/,-1,10,,,,,,,0,false,false,false,false,false
https://maximusscpi.com/scpi-sante/,https://maximusscpi.com/scpi-sante/,-1,10,,,,,,,0,false,false,false,false,false
https://maximusscpi.com/scpi-logistique/,https://maximusscpi.com/scpi-logistique/,-1,10,,,,,,,0,false,false,false,false,false
https://maximusscpi.com/scpi-residentiel/,https://maximusscpi.com/scpi-residentiel/,-1,10,,,,,,,0,false,false,false,false,false
https://maximusscpi.com/scpi-hotellerie/,https://maximusscpi.com/scpi-hotellerie/,-1,10,,,,,,,0,false,false,false,false,false
https://maximusscpi.com/scpi-mixte/,https://maximusscpi.com/scpi-mixte/,200,0,,https://maximusscpi.com/,index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1,MaximusSCPI — Investir en SCPI avec un Expert Certifié ORIAS,Comparez 63 SCPI en temps réel ✓ Rendements jusqu,,7490,false,false,false,false,true
https://maximusscpi.com/scpi-france/,https://maximusscpi.com/scpi-france/,-1,10,,,,,,,0,false,false,false,false,false
https://maximusscpi.com/scpi-europe/,https://maximusscpi.com/scpi-europeennes/,200,1,,https://maximusscpi.com/,index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1,MaximusSCPI — Investir en SCPI avec un Expert Certifié ORIAS,Comparez 63 SCPI en temps réel ✓ Rendements jusqu,,7490,false,false,true,false,true
https://maximusscpi.com/scpi-international/,https://maximusscpi.com/scpi-international/,200,0,,https://maximusscpi.com/,index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1,MaximusSCPI — Investir en SCPI avec un Expert Certifié ORIAS,Comparez 63 SCPI en temps réel ✓ Rendements jusqu,,7490,false,false,false,false,true
https://maximusscpi.com/expertise-orias-cif/,https://maximusscpi.com/expertise-orias-cif/,200,0,,https://maximusscpi.com/,index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1,MaximusSCPI — Investir en SCPI avec un Expert Certifié ORIAS,Comparez 63 SCPI en temps réel ✓ Rendements jusqu,,7490,false,false,false,false,true
https://maximusscpi.com/methodologie-donnees-scpi/,https://maximusscpi.com/methodologie-donnees-scpi/,200,0,,https://maximusscpi.com/,index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1,MaximusSCPI — Investir en SCPI avec un Expert Certifié ORIAS,Comparez 63 SCPI en temps réel ✓ Rendements jusqu,,7490,false,false,false,false,true
https://maximusscpi.com/avertissements-risques-scpi/,https://maximusscpi.com/avertissements-risques-scpi/,200,0,,https://maximusscpi.com/,index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1,MaximusSCPI — Investir en SCPI avec un Expert Certifié ORIAS,Comparez 63 SCPI en temps réel ✓ Rendements jusqu,,7490,false,false,false,false,true
https://maximusscpi.com/qui-sommes-nous/,https://maximusscpi.com/qui-sommes-nous/,200,0,,https://maximusscpi.com/,index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1,MaximusSCPI — Investir en SCPI avec un Expert Certifié ORIAS,Comparez 63 SCPI en temps réel ✓ Rendements jusqu,,7490,false,false,false,false,true
https://maximusscpi.com/alderan-scpi/,https://maximusscpi.com/alderan-scpi/,200,0,,https://maximusscpi.com/alderan-scpi/,,SCPI Alderan 2026 | Comète - Expertise et Performance,Découvrez les SCPI gérées par Alderan. Société de gestion innovante spécialisée dans l\,,3855,false,false,false,false,false
https://maximusscpi.com/arkea-reim-scpi/,https://maximusscpi.com/arkea-reim-scpi/,200,0,,https://maximusscpi.com/arkea-reim-scpi/,,SCPI Arkéa REIM 2026 | Transitions Europe - Expertise Immobilière,Découvrez les SCPI gérées par Arkéa REIM. Groupe Arkéa, solidité financière et expertise reconnue en immobilier européen.,,4054,false,false,false,false,false
https://maximusscpi.com/la-francaise-rem-scpi/,https://maximusscpi.com/la-francaise-rem-scpi/,200,0,,https://maximusscpi.com/la-francaise-rem-scpi/,,SCPI La Française REM 2026 | Leader Français - Expertise Reconnue,Découvrez les SCPI gérées par La Française REM, leader français de la gestion immobilière avec plus de 10 milliards d\,,4072,false,false,false,false,false
https://maximusscpi.com/atland-voisin-scpi/,https://maximusscpi.com/atland-voisin-scpi/,200,0,,https://maximusscpi.com/atland-voisin-scpi/,,SCPI Atland Voisin 2026 | Épargne Pierre Europe - Expertise Patrimoniale,Découvrez les SCPI gérées par Atland Voisin, spécialiste du conseil patrimonial avec une approche client unique et personnalisée.,,4129,false,false,false,false,false
https://maximusscpi.com/aestiam-scpi/,https://maximusscpi.com/aestiam-scpi/,200,0,,https://maximusscpi.com/aestiam-scpi/,,SCPI Aestiam 2026 | Pierre Rendement (5.04%), Cap Hebergimmo (4.55%), Placement Pierre (4.85%),Aestiam : gestionnaire historique de SCPI avec 30 ans d\,,3895,false,false,false,false,false
https://maximusscpi.com/altixia-reim-scpi/,https://maximusscpi.com/altixia-reim-scpi/,200,0,,https://maximusscpi.com/altixia-reim-scpi/,,SCPI Altixia REIM 2026 | Commerces, Cadence 12, Convictions,Découvrez les SCPI Altixia REIM : Commerces (4.61%), Cadence 12 (5.10%), Convictions. Spécialiste des commerces et bureaux français.,,4084,false,false,false,false,false
https://maximusscpi.com/amundi-immobilier-scpi/,https://maximusscpi.com/amundi-immobilier-scpi/,200,0,,https://maximusscpi.com/amundi-immobilier-scpi/,,SCPI Amundi Immobilier 2026 | Primo et AgriNova,Découvrez les SCPI Amundi Immobilier : Primo (4.50%) et AgriNova. La puissance du groupe Amundi au service de l\,,3981,false,false,false,false,false
https://maximusscpi.com/atream-scpi/,https://maximusscpi.com/atream-scpi/,200,0,,https://maximusscpi.com/atream-scpi/,,SCPI Atream 2026 | Pierre Capitale, Eurovalys,Découvrez les SCPI Atream : Pierre Capitale et Eurovalys. Gestionnaire indépendant spécialisé dans l\,,3874,false,false,false,false,false
https://maximusscpi.com/consultim-asset-management-scpi/,https://maximusscpi.com/consultim-asset-management-scpi/,200,0,,https://maximusscpi.com/consultim-asset-management-scpi/,,SCPI Consultim Asset Management 2026,Découvrez les SCPI gérées par Consultim Asset Management. Gestionnaire spécialisé en immobilier d\,,3926,false,false,false,false,false
https://maximusscpi.com/fiducial-gerance-scpi/,https://maximusscpi.com/fiducial-gerance-scpi/,200,0,,https://maximusscpi.com/fiducial-gerance-scpi/,,SCPI Fiducial Gérance 2026 | Force du Groupe Fiducial N°1 France,Fiducial Gérance : filiale immobilière du groupe Fiducial, N°1 français services entreprises (18 000 collaborateurs, 6000 agences). Solidité financière exceptionnelle. Expertise immobilier tertiaire. Gestion rigoureuse. Guide complet 2026.,,4552,false,false,false,false,false
https://maximusscpi.com/greenman-arth-scpi/,https://maximusscpi.com/greenman-arth-scpi/,200,0,,https://maximusscpi.com/greenman-arth-scpi/,,SCPI Greenman ARTH 2026,Découvrez les SCPI Greenman ARTH. Gestionnaire spécialisé dans l\,,3677,false,false,false,false,false
https://maximusscpi.com/inter-gestion-reim-scpi/,https://maximusscpi.com/inter-gestion-reim-scpi/,200,0,,https://maximusscpi.com/inter-gestion-reim-scpi/,,SCPI Inter Gestion REIM 2026,Découvrez les SCPI Inter Gestion REIM. Gestionnaire indépendant spécialisé en immobilier tertiaire.,,3858,false,false,false,false,false
https://maximusscpi.com/iroko-scpi/,https://maximusscpi.com/iroko-scpi/,200,0,,https://maximusscpi.com/iroko-scpi/,,SCPI Iroko 2026 | Zen (5.80%), Global (4.70%),Découvrez les SCPI Iroko : Zen (5.80%) et Global (4.70%). Gestionnaire innovant spécialisé dans l\,,3857,false,false,false,false,false
https://maximusscpi.com/kyaneos-asset-management-scpi/,https://maximusscpi.com/kyaneos-asset-management-scpi/,200,0,,https://maximusscpi.com/kyaneos-asset-management-scpi/,,SCPI Kyaneos Asset Management 2026,Découvrez les SCPI Kyaneos Asset Management. Gestionnaire spécialisé en immobilier d\,,3856,false,false,false,false,false
https://maximusscpi.com/magellim-reim-scpi/,https://maximusscpi.com/magellim-reim-scpi/,200,0,,https://maximusscpi.com/magellim-reim-scpi/,,SCPI Magellim REIM 2026,Découvrez les SCPI Magellim REIM. Gestionnaire spécialisé en immobilier d\,,3713,false,false,false,false,false
https://maximusscpi.com/norma-capital-scpi/,https://maximusscpi.com/norma-capital-scpi/,200,0,,https://maximusscpi.com/norma-capital-scpi/,,SCPI Norma Capital 2026,Découvrez les SCPI Norma Capital. Gestionnaire spécialisé en immobilier d\,,3713,false,false,false,false,false
https://maximusscpi.com/novaxia-investissement-scpi/,https://maximusscpi.com/novaxia-investissement-scpi/,200,0,,https://maximusscpi.com/novaxia-investissement-scpi/,,SCPI Novaxia Investissement 2026 | Neo (4.90%), Immorente,Découvrez les SCPI Novaxia : Neo (4.90%) et Immorente. Spécialiste de la transformation immobilière et du logement intermédiaire.,,4114,false,false,false,false,false
https://maximusscpi.com/paref-gestion-scpi/,https://maximusscpi.com/paref-gestion-scpi/,200,0,,https://maximusscpi.com/paref-gestion-scpi/,,SCPI Paref Gestion 2026,Découvrez les SCPI Paref Gestion. Gestionnaire historique spécialisé en immobilier tertiaire français.,,3825,false,false,false,false,false
https://maximusscpi.com/perial-asset-management-scpi/,https://maximusscpi.com/perial-asset-management-scpi/,200,0,,https://maximusscpi.com/perial-asset-management-scpi/,,SCPI Perial Asset Management 2026 | PF Grand Paris, PFO2, PF Hospitalité Europe,Découvrez les SCPI Perial : PF Grand Paris (4.51%), PFO2 (4.40%), PF Hospitalité Europe (5.95%). Leader avec 15 Mds€ d\,,4167,false,false,false,false,false
https://maximusscpi.com/praemia-reim-france-scpi/,https://maximusscpi.com/praemia-reim-france-scpi/,200,0,,https://maximusscpi.com/praemia-reim-france-scpi/,,SCPI Praemia REIM France 2026 | Pierre Patrimoine, Interpierre,Découvrez les SCPI Praemia REIM : Pierre Patrimoine et Interpierre. Gestionnaire indépendant avec expertise en immobilier français.,,4127,false,false,false,false,false
https://maximusscpi.com/remake-asset-management-scpi/,https://maximusscpi.com/remake-asset-management-scpi/,200,0,,https://maximusscpi.com/remake-asset-management-scpi/,,SCPI Remake Asset Management 2026,Découvrez les SCPI Remake Asset Management. Gestionnaire spécialisé en transformation immobilière et recyclage urbain.,,3979,false,false,false,false,false
https://maximusscpi.com/sofidy-scpi/,https://maximusscpi.com/sofidy-scpi/,200,0,,https://maximusscpi.com/sofidy-scpi/,,SCPI Sofidy 2026 | Edissimmo, InterContinents, Immorente 2,Découvrez les SCPI Sofidy : Edissimmo (4.40%), InterContinents (4.70%). Gestionnaire historique avec 50 ans d\,,3962,false,false,false,false,false
https://maximusscpi.com/sogenial-immobilier-scpi/,https://maximusscpi.com/sogenial-immobilier-scpi/,200,0,,https://maximusscpi.com/sogenial-immobilier-scpi/,,SCPI Sogenial Immobilier 2026 | Remake Live (7.70%), Immorente (4.35%),Découvrez les SCPI Sogenial : Remake Live (7.70% - transformation urbaine), Immorente (4.35% - résidentiel). Filiale Crédit du Nord.,,4163,false,false,false,false,false
https://maximusscpi.com/swiss-life-am-france-scpi/,https://maximusscpi.com/swiss-life-am-france-scpi/,200,0,,https://maximusscpi.com/swiss-life-am-france-scpi/,,SCPI Swiss Life AM France 2026 | Renovalys, Swiss Life Dynapierre,Découvrez les SCPI Swiss Life : Renovalys et Dynapierre. La puissance du groupe Swiss Life au service de l\,,4048,false,false,false,false,false
https://maximusscpi.com/theoreim-scpi/,https://maximusscpi.com/theoreim-scpi/,200,0,,https://maximusscpi.com/theoreim-scpi/,,SCPI Théoreim 2026,Découvrez les SCPI Théoreim. Gestionnaire spécialisé en immobilier d\,,3648,false,false,false,false,false
https://maximusscpi.com/urban-premium-scpi/,https://maximusscpi.com/urban-premium-scpi/,200,0,,https://maximusscpi.com/urban-premium-scpi/,,SCPI Urban Premium 2026,Découvrez les SCPI Urban Premium. Gestionnaire spécialisé en immobilier premium urbain.,,3765,false,false,false,false,false
https://maximusscpi.com/articles/fonds-euros-ou-scpi/,https://maximusscpi.com/articles/fonds-euros-ou-scpi/,200,0,,https://maximusscpi.com/,index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1,MaximusSCPI — Investir en SCPI avec un Expert Certifié ORIAS,Comparez 63 SCPI en temps réel ✓ Rendements jusqu,,7490,false,false,false,false,true
